Eq	Prot	Destination	Gateway		                        Comment (name)
R1	IPv4	0.0.0.0/0	172.16.19.1		                to R19 (ISP)
R1	IPv6	::/0	        20FF:CCFF:1000:19::1		        to R19 (ISP)
R5	IPv4	0.0.0.0/0	172.16.17.1		                to R17 (ISP)
R5	IPv6	::/0	        20FF:CCFF:1000:17::1		        to R17 (ISP)
R9	IPv4	0.0.0.0/0	172.16.18.1		                to R18 (ISP)
R9	IPv6	::/0	        20FF:CCFF:1000:18::1		        to R18 (ISP)
R13	IPv4	0.0.0.0/0	172.16.20.1		                to R20 (ISP)
R13	IPv6	::/0	        20FF:CCFF:1000:20::1		        to R20 (ISP)
R17	IPv4	172.16.18.0/29	90.90.129.18/24		                to R18
R17	IPv4	172.16.19.0/30	90.90.128.19/24		                to R19
R17	IPv4	172.16.20.0/30	90.90.131.20/25		                to R20
R17	IPv6	20FF:CCFF:1000:18::/64	20FF:CCFF:FFFF:2::18		to R18
R17	IPv6	20FF:CCFF:1000:19::/64	20FF:CCFF:FFFF:1::19		to R19
R17	IPv6	20FF:CCFF:1000:20::/64	20FF:CCFF:FFFF:5::20		to R20
R18	IPv4	172.16.17.0/30	90.90.129.17/24		                to R17
R18	IPv4	172.16.19.0/30	90.90.131.130/25		        to R19
R18	IPv4	172.16.20.0/30	90.90.130.20/25		                to R20
R18	IPv6	20FF:CCFF:1000:17::/64	20FF:CCFF:FFFF:2::17		to R17
R18	IPv6	20FF:CCFF:1000:19::/64	20FF:CCFF:FFFF:6::19		to R19
R18	IPv6	20FF:CCFF:1000:20::/64	20FF:CCFF:FFFF:3::20		to R20
R19	IPv4	172.16.17.0/30	90.90.128.17/24		                to R17
R19	IPv4	172.16.18.0/29	90.90.131.129/25		        to R18
R19	IPv4	172.16.20.0/30	90.90.130.130/25		        to R20
R19	IPv6	20FF:CCFF:1000:17::/64	20FF:CCFF:FFFF:1::17		to R17
R19	IPv6	20FF:CCFF:1000:18::/64	20FF:CCFF:FFFF:6::18		to R18
R19	IPv6	20FF:CCFF:1000:20::/64	20FF:CCFF:FFFF:4::20		to R20
R20	IPv4	172.16.17.0/30	90.90.131.17/25		                to R17
R20	IPv4	172.16.18.0/29	90.90.130.18/25		                to R18
R20	IPv4	172.16.19.0/30	90.90.130.129/25		        to R19
R20	IPv6	20FF:CCFF:1000:17::/64	20FF:CCFF:FFFF:5::17		to R17
R20	IPv6	20FF:CCFF:1000:18::/64	20FF:CCFF:FFFF:3::18		to R18
R20	IPv6	20FF:CCFF:1000:19::/64	20FF:CCFF:FFFF:4::19		to R19
